id,student,task,solved,start,end,time_spent
2868,8867,49,True,2018-01-25T08:01:09.464192Z,2018-01-25T08:12:22.177844Z,672
2872,8870,86,True,2018-01-25T08:01:50.284991Z,2018-01-25T08:05:10.201071Z,199
2895,8889,66,True,2018-01-25T08:03:06.533337Z,2018-01-25T08:05:27.940236Z,141
2867,8866,31,True,2018-01-25T08:00:58.940721Z,2018-01-25T08:03:17.244234Z,138
2922,8871,8,True,2018-01-25T08:04:03.703983Z,2018-01-25T08:04:33.708874Z,30
2919,8874,26,True,2018-01-25T08:03:54.772846Z,2018-01-25T08:04:45.617696Z,50
2875,8873,49,True,2018-01-25T08:01:55.476266Z,2018-01-25T08:03:37.663210Z,102
2879,8877,26,True,2018-01-25T08:02:09.674964Z,2018-01-25T08:03:30.312201Z,80
2903,8876,49,True,2018-01-25T08:03:19.524622Z,2018-01-25T08:03:38.565283Z,19
2917,8900,2,True,2018-01-25T08:03:48.697885Z,2018-01-25T08:36:35.843041Z,1967
2923,8868,23,False,2018-01-25T08:04:03.876114Z,2018-01-25T08:05:15.339355Z,71
2906,8895,86,True,2018-01-25T08:03:22.127454Z,2018-01-25T08:14:25.812048Z,663
2880,8878,26,True,2018-01-25T08:02:13.063231Z,2018-01-25T08:06:34.953733Z,261
2897,8891,86,True,2018-01-25T08:03:08.486250Z,2018-01-25T08:04:16.854063Z,68
2920,8902,2,True,2018-01-25T08:03:59.322725Z,2018-01-25T08:05:42.990097Z,103
2900,8871,6,True,2018-01-25T08:03:12.567701Z,2018-01-25T08:03:57.358189Z,44
2918,8901,51,True,2018-01-25T08:03:50.435830Z,2018-01-25T08:06:26.383560Z,155
2912,8898,25,True,2018-01-25T08:03:42.429458Z,2018-01-25T08:05:55.442789Z,133
2902,8875,31,True,2018-01-25T08:03:18.370864Z,2018-01-25T08:03:52.629789Z,34
2888,8883,86,True,2018-01-25T08:02:39.723164Z,2018-01-25T08:04:04.105331Z,84
2892,8886,2,True,2018-01-25T08:02:51.399611Z,2018-01-25T08:07:20.423144Z,269
2913,8873,25,True,2018-01-25T08:03:43.018215Z,2018-01-25T08:04:03.758196Z,20
2896,8890,2,True,2018-01-25T08:03:08.035396Z,2018-01-25T08:08:04.756959Z,296
2891,8885,44,True,2018-01-25T08:02:51.095273Z,2018-01-25T08:04:31.600574Z,100
2915,8867,6,False,2018-01-25T08:03:48.498167Z,2018-01-25T08:07:41.216943Z,232
2885,8882,31,True,2018-01-25T08:02:25.213516Z,2018-01-25T08:05:28.022479Z,182
2899,8892,49,True,2018-01-25T08:03:12.117151Z,2018-01-25T08:04:50.988711Z,98
2882,8880,25,True,2018-01-25T08:02:15.599284Z,2018-01-25T08:04:45.479520Z,149
2921,8877,10,True,2018-01-25T08:04:00.798337Z,2018-01-25T08:04:26.437153Z,25
2881,8879,2,True,2018-01-25T08:02:15.236275Z,2018-01-25T08:06:55.140739Z,279
2890,8884,2,True,2018-01-25T08:02:49.083219Z,2018-01-25T08:05:46.368907Z,177
2916,8899,26,True,2018-01-25T08:03:48.613195Z,2018-01-25T08:05:29.354041Z,100
2905,8894,26,True,2018-01-25T08:03:20.754860Z,2018-01-25T08:15:51.224521Z,750
2874,8872,86,True,2018-01-25T08:01:52.281706Z,2018-01-25T08:05:25.840521Z,213
2894,8888,2,True,2018-01-25T08:03:01.351026Z,2018-01-25T08:05:51.475669Z,170
2893,8887,2,True,2018-01-25T08:03:00.948123Z,2018-01-25T08:05:07.789361Z,126
2887,8869,6,True,2018-01-25T08:02:37.608731Z,2018-01-25T08:07:58.674662Z,321
2886,8867,26,True,2018-01-25T08:02:25.467198Z,2018-01-25T08:10:26.060692Z,480
2901,8893,49,True,2018-01-25T08:03:16.656909Z,2018-01-25T08:24:31.292694Z,1274
2909,8897,66,True,2018-01-25T08:03:29.458455Z,2018-01-25T10:45:54.683288Z,9745
3009,8883,44,True,2018-01-25T08:06:31.994067Z,2018-01-25T08:06:40.767013Z,8
3024,8883,6,True,2018-01-25T08:06:46.407538Z,2018-01-25T08:07:38.704654Z,52
2927,8903,2,False,2018-01-25T08:04:20.910703Z,2018-01-25T08:04:20.910727Z,0
2971,8918,26,True,2018-01-25T08:05:51.650561Z,2018-01-25T08:17:17.206309Z,685
2908,8881,67,True,2018-01-25T08:03:28.019869Z,2018-01-25T08:04:23.080319Z,55
2935,8907,49,True,2018-01-25T08:04:35.672415Z,2018-01-25T08:05:38.144999Z,62
2949,8891,8,True,2018-01-25T08:05:11.372556Z,2018-01-25T08:05:38.277547Z,26
2947,8871,2,True,2018-01-25T08:05:10.141721Z,2018-01-25T08:05:19.037868Z,8
2941,8880,44,True,2018-01-25T08:04:53.924298Z,2018-01-25T08:05:38.524749Z,44
2999,8889,79,True,2018-01-25T08:06:18.973769Z,2018-01-25T08:06:48.748222Z,29
2931,8893,26,True,2018-01-25T08:04:25.736656Z,2018-01-25T08:29:03.572315Z,1477
2907,8896,86,True,2018-01-25T08:03:24.128935Z,2018-01-25T08:05:38.794053Z,134
2940,8909,49,True,2018-01-25T08:04:52.574197Z,2018-01-25T08:06:10.151704Z,77
2934,8877,51,True,2018-01-25T08:04:33.133190Z,2018-01-25T08:04:36.896345Z,3
3030,8935,86,True,2018-01-25T08:06:59.868261Z,2018-01-25T08:09:38.562384Z,158
2933,8906,2,True,2018-01-25T08:04:31.902681Z,2018-01-25T08:05:56.495608Z,84
2955,8874,23,True,2018-01-25T08:05:28.712922Z,2018-01-25T08:06:34.639622Z,65
3027,8871,51,True,2018-01-25T08:06:50.696575Z,2018-01-25T08:07:03.632605Z,12
2945,8883,8,True,2018-01-25T08:05:08.363979Z,2018-01-25T08:05:42.889456Z,34
2957,8899,31,True,2018-01-25T08:05:35.233629Z,2018-01-25T08:05:59.013768Z,23
2964,8887,10,True,2018-01-25T08:05:44.290129Z,2018-01-25T08:06:11.040211Z,26
2925,8883,31,True,2018-01-25T08:04:12.236946Z,2018-01-25T08:04:52.610521Z,40
